📺 央视频道,#genre#
周村综合,http://192.168.123.1:20231/rtp/239.21.2.150:5002?fcc=150.138.8.132:8027
桓台综合,http://192.168.123.1:20231/rtp/239.21.1.105:5002?fcc=150.138.8.132:8027
高青综合,http://192.168.123.1:20231/rtp/239.21.2.140:5002?fcc=150.138.8.132:8027
沂源综合,http://192.168.123.1:20231/rtp/239.21.1.114:5002?fcc=150.138.8.132:8027
临淄综合,http://192.168.123.1:20231/rtp/239.21.2.192:5002?fcc=150.138.8.132:8027
广饶综合,http://192.168.123.1:20231/rtp/239.21.1.193:5002?fcc=150.138.8.132:8027
龙口综合,http://192.168.123.1:20231/rtp/239.21.2.146:5002?fcc=150.138.8.132:8027
招远综合,http://192.168.123.1:20231/rtp/239.21.2.145:5002?fcc=150.138.8.132:8027
蓬莱综合,http://192.168.123.1:20231/rtp/239.21.2.56:5002?fcc=150.138.8.132:8027
栖霞综合,http://192.168.123.1:20231/rtp/239.21.1.229:5002?fcc=150.138.8.132:8027
海阳综合,http://192.168.123.1:20231/rtp/239.21.2.64:5002?fcc=150.138.8.132:8027
海阳综合,http://192.168.123.1:20231/rtp/239.21.2.68:5002?fcc=150.138.8.132:8027
海阳综艺,http://192.168.123.1:20231/rtp/239.21.2.65:5002?fcc=150.138.8.132:8027
长岛综合,http://192.168.123.1:20231/rtp/239.21.2.52:5002?fcc=150.138.8.132:8027
牟平综合,http://192.168.123.1:20231/rtp/239.21.2.10:5002?fcc=150.138.8.132:8027
牟平生活,http://192.168.123.1:20231/rtp/239.21.2.11:5002?fcc=150.138.8.132:8027
青州综合,http://192.168.123.1:20231/rtp/239.21.1.232:5002?fcc=150.138.8.132:8027
青州文旅,http://192.168.123.1:20231/rtp/239.21.1.231:5002?fcc=150.138.8.132:8027
诸城综合,http://192.168.123.1:20231/rtp/239.21.1.217:5002?fcc=150.138.8.132:8027
寿光综合,http://192.168.123.1:20231/rtp/239.21.1.180:5002?fcc=150.138.8.132:8027
寿光蔬菜,http://192.168.123.1:20231/rtp/239.21.1.218:5002?fcc=150.138.8.132:8027
安丘综合,http://192.168.123.1:20231/rtp/239.21.2.13:5002?fcc=150.138.8.132:8027
高密综合,http://192.168.123.1:20231/rtp/239.21.2.59:5002?fcc=150.138.8.132:8027
昌邑综合,http://192.168.123.1:20231/rtp/239.21.2.27:5002?fcc=150.138.8.132:8027
昌乐综合,http://192.168.123.1:20231/rtp/239.21.1.245:5002?fcc=150.138.8.132:8027
兖州综合,http://192.168.123.1:20231/rtp/239.21.1.224:5002?fcc=150.138.8.132:8027
曲阜综合,http://192.168.123.1:20231/rtp/239.21.1.225:5002?fcc=150.138.8.132:8027
邹城综合,http://192.168.123.1:20231/rtp/239.21.1.185:5002?fcc=150.138.8.132:8027
鱼台综合,http://192.168.123.1:20231/rtp/239.21.2.134:5002?fcc=150.138.8.132:8027
鱼台生活,http://192.168.123.1:20231/rtp/239.21.2.135:5002?fcc=150.138.8.132:8027
嘉祥综合,http://192.168.123.1:20231/rtp/239.21.2.84:5002?fcc=150.138.8.132:8027
汶上综合,http://192.168.123.1:20231/rtp/239.21.2.175:5002?fcc=150.138.8.132:8027
梁山综合,http://192.168.123.1:20231/rtp/239.21.2.12:5002?fcc=150.138.8.132:8027
任城综合,http://192.168.123.1:20231/rtp/239.21.2.143:5002?fcc=150.138.8.132:8027
任城生活,http://192.168.123.1:20231/rtp/239.21.2.144:5002?fcc=150.138.8.132:8027
新泰综合,http://192.168.123.1:20231/rtp/239.21.1.210:5002?fcc=150.138.8.132:8027
新泰乡村,http://192.168.123.1:20231/rtp/239.21.1.248:5002?fcc=150.138.8.132:8027
肥城综合,http://192.168.123.1:20231/rtp/239.21.2.161:5002?fcc=150.138.8.132:8027
宁阳综合,http://192.168.123.1:20231/rtp/239.21.1.143:5002?fcc=150.138.8.132:8027
宁阳生活,http://192.168.123.1:20231/rtp/239.21.1.144:5002?fcc=150.138.8.132:8027
东平综合,http://192.168.123.1:20231/rtp/239.21.1.216:5002?fcc=150.138.8.132:8027
岱岳综合,http://192.168.123.1:20231/rtp/239.21.2.139:5002?fcc=150.138.8.132:8027
泰山综合,http://192.168.123.1:20231/rtp/239.21.2.147:5002?fcc=150.138.8.132:8027
文登综合,http://192.168.123.1:20231/rtp/239.21.1.174:5002?fcc=150.138.8.132:8027
荣成综合,http://192.168.123.1:20231/rtp/239.21.1.227:5002?fcc=150.138.8.132:8027
乳山综合,http://192.168.123.1:20231/rtp/239.21.1.220:5002?fcc=150.138.8.132:8027
岚山综合,http://192.168.123.1:20231/rtp/239.21.1.209:5002?fcc=150.138.8.132:8027
莒县综合,http://192.168.123.1:20231/rtp/239.21.1.236:5002?fcc=150.138.8.132:8027
五莲综合,http://192.168.123.1:20231/rtp/239.21.2.191:5002?fcc=150.138.8.132:8027
河东综合,http://192.168.123.1:20231/rtp/239.21.2.136:5002?fcc=150.138.8.132:8027
兰陵综合,http://192.168.123.1:20231/rtp/239.21.1.237:5002?fcc=150.138.8.132:8027
兰陵公共,http://192.168.123.1:20231/rtp/239.21.2.63:5002?fcc=150.138.8.132:8027
沂水综合,http://192.168.123.1:20231/rtp/239.21.2.79:5002?fcc=150.138.8.132:8027
沂水生活,http://192.168.123.1:20231/rtp/239.21.2.80:5002?fcc=150.138.8.132:8027
莒南综合,http://192.168.123.1:20231/rtp/239.21.2.66:5002?fcc=150.138.8.132:8027
蒙阴综合,http://192.168.123.1:20231/rtp/239.21.2.23:5002?fcc=150.138.8.132:8027
临沭综合,http://192.168.123.1:20231/rtp/239.21.2.154:5002?fcc=150.138.8.132:8027
陵城综合,http://192.168.123.1:20231/rtp/239.21.2.24:5002?fcc=150.138.8.132:8027
禹城综合,http://192.168.123.1:20231/rtp/239.21.1.241:5002?fcc=150.138.8.132:8027
禹城综艺,http://192.168.123.1:20231/rtp/239.21.1.242:5002?fcc=150.138.8.132:8027
临邑综合,http://192.168.123.1:20231/rtp/239.21.2.130:5002?fcc=150.138.8.132:8027
平原综合,http://192.168.123.1:20231/rtp/239.21.1.243:5002?fcc=150.138.8.132:8027
夏津综合,http://192.168.123.1:20231/rtp/239.21.1.106:5002?fcc=150.138.8.132:8027
夏津公共,http://192.168.123.1:20231/rtp/239.21.1.102:5002?fcc=150.138.8.132:8027
武城综合,http://192.168.123.1:20231/rtp/239.21.1.239:5002?fcc=150.138.8.132:8027
宁津综合,http://192.168.123.1:20231/rtp/239.21.2.50:5002?fcc=150.138.8.132:8027
齐河综合,http://192.168.123.1:20231/rtp/239.21.1.230:5002?fcc=150.138.8.132:8027
东昌综合,http://192.168.123.1:20231/rtp/239.21.2.190:5002?fcc=150.138.8.132:8027
临清综合,http://192.168.123.1:20231/rtp/239.21.2.123:5002?fcc=150.138.8.132:8027
莘县综合,http://192.168.123.1:20231/rtp/239.21.1.211:5002?fcc=150.138.8.132:8027
茌平综合,http://192.168.123.1:20231/rtp/239.21.1.219:5002?fcc=150.138.8.132:8027
东阿综合,http://192.168.123.1:20231/rtp/239.21.2.61:5002?fcc=150.138.8.132:8027
冠县综合,http://192.168.123.1:20231/rtp/239.21.1.250:5002?fcc=150.138.8.132:8027
冠县综合,http://192.168.123.1:20231/rtp/239.21.2.149:5002?fcc=150.138.8.132:8027
惠民综合,http://192.168.123.1:20231/rtp/239.21.1.181:5002?fcc=150.138.8.132:8027
阳信综合,http://192.168.123.1:20231/rtp/239.21.1.252:5002?fcc=150.138.8.132:8027
无棣综合,http://192.168.123.1:20231/rtp/239.21.1.214:5002?fcc=150.138.8.132:8027
沾化综合,http://192.168.123.1:20231/rtp/239.21.1.226:5002?fcc=150.138.8.132:8027
邹平综合,http://192.168.123.1:20231/rtp/239.21.1.238:5002?fcc=150.138.8.132:8027
定陶综合,http://192.168.123.1:20231/rtp/239.21.1.244:5002?fcc=150.138.8.132:8027
单县综合,http://192.168.123.1:20231/rtp/239.21.2.21:5002?fcc=150.138.8.132:8027
巨野综合,http://192.168.123.1:20231/rtp/239.21.1.215:5002?fcc=150.138.8.132:8027
郓城综合,http://192.168.123.1:20231/rtp/239.21.1.251:5002?fcc=150.138.8.132:8027
鄄城综合,http://192.168.123.1:20231/rtp/239.21.2.141:5002?fcc=150.138.8.132:8027
东明综合,http://192.168.123.1:20231/rtp/239.21.1.246:5002?fcc=150.138.8.132:8027
临朐综合,http://192.168.123.1:20231/rtp/239.21.2.62:5002?fcc=150.138.8.132:8027

⏸️ 备用频道,#genre#
山东综合广播,http://192.168.123.1:20231/rtp/239.21.2.36:5002?fcc=150.138.8.132:8027
山东经济广播,http://192.168.123.1:20231/rtp/239.21.2.148:5002?fcc=150.138.8.132:8027
山东交通广播,http://192.168.123.1:20231/rtp/239.21.2.151:5002?fcc=150.138.8.132:8027
